Cost_Rank,Product_Name,Product_Life_Cycle,FY22_Q2,FY22_Q3,FY22_Q4,FY23_Q1,FY23_Q2,FY23_Q3,FY23_Q4,FY24_Q1,FY24_Q2,FY24_Q3,FY24_Q4,FY25_Q1,D_FY2024_Q3_Accuracy,D_FY2024_Q3_BIAS,D_FY2024_Q4_Accuracy,D_FY2024_Q4_BIAS,D_FY2025_Q1_Accuracy,D_FY2025_Q1_BIAS,M_FY2024_Q3_Accuracy,M_FY2024_Q3_BIAS,M_FY2024_Q4_Accuracy,M_FY2024_Q4_BIAS,M_FY2025_Q1_Accuracy,M_FY2025_Q1_BIAS,S_FY2024_Q3_Accuracy,S_FY2024_Q3_BIAS,S_FY2024_Q4_Accuracy,S_FY2024_Q4_BIAS,S_FY2025_Q1_Accuracy,S_FY2025_Q1_BIAS,D_FY2025_Q2_Forecasted,M_FY2025_Q2_Forecasted,S_FY2025_Q2_Forecasted,D_FY24_Q3_Forecasted,D_FY24_Q4_Forecasted,D_FY25_Q1_Forecasted,M_FY24_Q3_Forecasted,M_FY24_Q4_Forecasted,M_FY25_Q1_Forecasted,S_FY24_Q3_Forecasted,S_FY24_Q4_Forecasted,S_FY25_Q1_Forecasted
11,PROCESSOR ,Sustaining,,,,,,648,2415,1331,1828,1346,1175,1376,0.4903,-0.5097,0.4678,0.5322,0.9,0.1,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.6374,0.3626,0.5421,-0.4579,0.5661,0.4339,1052,0,1268,659.9437999999999,1800.335,1513.6000000000001,0.0,0.0,0.0,1834.0596,636.9675000000001,1973.0464
12,SWITCH Data Center High,Sustaining,1263.0,1314.0,843.0,974.0,753.0,693,911,917,1944,1267,1757,1472,0.9234,-0.0766,0.7768999999999999,-0.2231,0.8832,-0.1168,0.8591,-0.1409,0.6570999999999999,-0.3429,0.6361,-0.3639,0.7198,-0.2802,0.5191,-0.48090000000000005,0.6189,-0.3811,1455,1185,1437,1169.9478,1365.0133,1300.0704,1088.4796999999999,1154.5247,936.3392,911.9866,912.0586999999998,911.0208
13,TRANSCEIVER MODULE Mid,Sustaining,,,1688.0,531.0,6487.0,5456,10031,10803,15667,37379,34423,36285,0.37450000000000006,-0.6255,0.9151,-0.0849,0.8268000000000001,-0.1732,0.4682,-0.5318,0.6101,-0.3899,0.9527,0.0473,0.31120000000000003,-0.6888,0.8190999999999999,0.1809,0.3013,-0.6987000000000001,38000,43500,37641,13998.435500000001,31500.4873,30000.438,17500.8478,21001.472299999998,38001.28049999999,11632.3448,40650.1207,10932.670499999997
14,ROUTER Enterprise Mid ,Sustaining,2057.0,4266.0,11650.0,7218.0,6969.0,8713,10622,11449,10366,13540,16468,13724,0.7976000000000001,-0.2024,0.8441,-0.1559,0.8870999999999999,0.11289999999999999,0.8826,-0.1174,0.9655,-0.0345,0.9006000000000001,0.09939999999999999,0.8109000000000001,-0.1891,0.7765000000000001,-0.2235,0.8268000000000001,-0.1732,16500,16597,15241,10799.503999999999,13900.638799999999,15273.4396,11950.404,15899.854000000001,15088.165599999998,10979.586,12787.402,11347.0032
15,MEMORY ,Decline,58911.0,69308.0,107690.0,70616.0,68431.0,69252,84833,69172,58610,51083,22115,19674,0.9113,-0.08869999999999999,0.0,1.6199000000000001,0.8879,0.1121,0.887,0.113,0.0,1.5451,0.2608,0.7392,0.6498999999999999,0.35009999999999997,0.0,2.1186000000000003,0.0,2.7325999999999997,26281,35204,23260,46551.9379,57939.088500000005,21879.455400000003,56855.379,56284.88649999999,34217.0208,68967.1583,68967.839,73435.1724
16,ROUTER Enterprise Mid ,Sustaining,2349.0,2359.0,2861.0,2655.0,3497.0,2837,4237,3817,3855,5784,7840,5309,0.6916,-0.3084,0.7398,-0.2602,0.851,0.149,0.9077,-0.09230000000000001,0.7972,-0.2028,0.9176000000000001,-0.0824,0.7087,-0.2913,0.5829,-0.4171,0.7845,-0.2155,6400,5351,6696,4000.2144,5800.032,6100.041,5250.136799999999,6250.048,4871.5383999999995,4099.1208,4569.936,4164.9105
17,SWITCH Data Center Mid,Sustaining,4593.0,6513.0,3093.0,2531.0,2182.0,2192,2586,1918,2340,1979,1712,1675,0.9389,0.0611,0.6273,0.37270000000000003,0.9254000000000001,-0.0746,0.8521,0.1479,0.6513,0.34869999999999995,0.9267,0.0733,0.9803000000000001,0.0197,0.7827,0.2173,0.7576,0.24239999999999998,1600,2063,1622,2099.9168999999997,2350.0624000000003,1550.045,2271.6940999999997,2308.9744,1797.7775,2017.9863,2084.0176,2081.02
18,ROUTER Enterprise Low ,Decline,13153.0,15149.0,17700.0,10373.0,15770.0,1199,3395,5576,5272,6085,6761,16697,0.7139,-0.2861,0.963,-0.037000000000000005,0.6009,-0.39909999999999995,0.4304,-0.5696,0.7726999999999999,-0.2273,0.3665,-0.6335000000000001,0.9229,-0.0771,0.8697,-0.1303,0.326,-0.674,6428,6416,9151,4344.0815,6510.843,10033.2273,2618.984,5224.2247,6119.450499999999,5615.846500000001,5880.0417,5443.221999999999
19,SWITCH Data Center Mid,Sustaining,6629.0,4275.0,2981.0,2956.0,1987.0,1709,2326,2280,2001,3152,3208,2374,0.6662,-0.33380000000000004,0.7170000000000001,-0.28300000000000003,0.888,0.11199999999999999,0.6306,-0.36939999999999995,0.6898000000000001,-0.3102,0.7573000000000001,-0.2427,0.6355,-0.36450000000000005,0.7911,-0.2089,0.9853000000000001,-0.0147,2550,2283,2496,2099.8623999999995,2300.136,2639.8880000000004,1987.6512000000002,2212.8784,1797.8301999999999,2003.0959999999998,2537.8488,2339.1022
20,SWITCH Enterprise High ,NPI,,,,,6.0,26,111,97,158,138,192,149,0.8116,0.1884,0.8020999999999999,0.1979,0.8748,0.1252,0.775,0.225,0.5611,0.4389,0.8959,0.1041,0.9783,-0.0217,0.5938,-0.40630000000000005,0.698,-0.302,202,281,180,163.99920000000003,229.9968,167.6548,169.05,276.2688,164.51090000000002,135.00539999999998,113.99039999999998,104.002
