Cost_Rank,Product_Name,Product_Life_Cycle,FY22_Q2,FY22_Q3,FY22_Q4,FY23_Q1,FY23_Q2,FY23_Q3,FY23_Q4,FY24_Q1,FY24_Q2,FY24_Q3,FY24_Q4,FY25_Q1,D_FY2024_Q3_Accuracy,D_FY2024_Q3_BIAS,D_FY2024_Q4_Accuracy,D_FY2024_Q4_BIAS,D_FY2025_Q1_Accuracy,D_FY2025_Q1_BIAS,M_FY2024_Q3_Accuracy,M_FY2024_Q3_BIAS,M_FY2024_Q4_Accuracy,M_FY2024_Q4_BIAS,M_FY2025_Q1_Accuracy,M_FY2025_Q1_BIAS,S_FY2024_Q3_Accuracy,S_FY2024_Q3_BIAS,S_FY2024_Q4_Accuracy,S_FY2024_Q4_BIAS,S_FY2025_Q1_Accuracy,S_FY2025_Q1_BIAS,D_FY2025_Q2_Forecasted,M_FY2025_Q2_Forecasted,S_FY2025_Q2_Forecasted
11,PROCESSOR ,Sustaining,,,,,,648,2415,1331,1828,1346,1175,1376,49.03%,-50.97%,46.78%,53.22%,90.00%,10.00%,0.00%,-100.00%,0.00%,-100.00%,0.00%,-100.00%,63.74%,36.26%,54.21%,-45.79%,56.61%,43.39%,1052,0,1268
12,SWITCH Data Center High,Sustaining,1263,1314,843,974,753,693,911,917,1944,1267,1757,1472,92.34%,-7.66%,77.69%,-22.31%,88.32%,-11.68%,85.91%,-14.09%,65.71%,-34.29%,63.61%,-36.39%,71.98%,-28.02%,51.91%,-48.09%,61.89%,-38.11%,1455,1185,1437
13,TRANSCEIVER MODULE Mid,Sustaining,,,1688,531,6487,5456,10031,10803,15667,37379,34423,36285,37.45%,-62.55%,91.51%,-8.49%,82.68%,-17.32%,46.82%,-53.18%,61.01%,-38.99%,95.27%,4.73%,31.12%,-68.88%,81.91%,18.09%,30.13%,-69.87%,38000,43500,37641
14,ROUTER Enterprise Mid ,Sustaining,2057,4266,11650,7218,6969,8713,10622,11449,10366,13540,16468,13724,79.76%,-20.24%,84.41%,-15.59%,88.71%,11.29%,88.26%,-11.74%,96.55%,-3.45%,90.06%,9.94%,81.09%,-18.91%,77.65%,-22.35%,82.68%,-17.32%,16500,16597,15241
15,MEMORY ,Decline,58911,69308,107690,70616,68431,69252,84833,69172,58610,51083,22115,19674,91.13%,-8.87%,0.00%,161.99%,88.79%,11.21%,88.70%,11.30%,0.00%,154.51%,26.08%,73.92%,64.99%,35.01%,0.00%,211.86%,0.00%,273.26%,26281,35204,23260
16,ROUTER Enterprise Mid ,Sustaining,2349,2359,2861,2655,3497,2837,4237,3817,3855,5784,7840,5309,69.16%,-30.84%,73.98%,-26.02%,85.10%,14.90%,90.77%,-9.23%,79.72%,-20.28%,91.76%,-8.24%,70.87%,-29.13%,58.29%,-41.71%,78.45%,-21.55%,6400,5351,6696
17,SWITCH Data Center Mid,Sustaining,4593,6513,3093,2531,2182,2192,2586,1918,2340,1979,1712,1675,93.89%,6.11%,62.73%,37.27%,92.54%,-7.46%,85.21%,14.79%,65.13%,34.87%,92.67%,7.33%,98.03%,1.97%,78.27%,21.73%,75.76%,24.24%,1600,2063,1622
18,ROUTER Enterprise Low ,Decline,13153,15149,17700,10373,15770,1199,3395,5576,5272,6085,6761,16697,71.39%,-28.61%,96.30%,-3.70%,60.09%,-39.91%,43.04%,-56.96%,77.27%,-22.73%,36.65%,-63.35%,92.29%,-7.71%,86.97%,-13.03%,32.60%,-67.40%,6428,6416,9151
19,SWITCH Data Center Mid,Sustaining,6629,4275,2981,2956,1987,1709,2326,2280,2001,3152,3208,2374,66.62%,-33.38%,71.70%,-28.30%,88.80%,11.20%,63.06%,-36.94%,68.98%,-31.02%,75.73%,-24.27%,63.55%,-36.45%,79.11%,-20.89%,98.53%,-1.47%,2550,2283,2496
20,SWITCH Enterprise High ,NPI,,,,,6,26,111,97,158,138,192,149,81.16%,18.84%,80.21%,19.79%,87.48%,12.52%,77.50%,22.50%,56.11%,43.89%,89.59%,10.41%,97.83%,-2.17%,59.38%,-40.63%,69.80%,-30.20%,202,281,180
